OBJECTID,WARD,LOCATION,COUNT_,INSTALLYEAR,X,Y
63,3,"2800 Block of 36th Street, NW",1,FY-09,393853.43986425,139856.51497522
64,3,"3500 Block of Fulton Street, NW",1,FY-09,393996.05112838,139813.97004718
65,3,4100 Harrison Street  NW,1,FY-09,393006.14,143216.22
66,4,600 Tuckerman St. NW,1,FY-09,398153.79,144355.83
67,4,100 Tuckerman Street NE,1,FY-09,399392.97001339,144380.47001942
68,4,5600  Blk. Of  1 st  Street  NE,1,FY-09,399479.11,143324.04
69,4,1400-1500 Blk. Underwood Street,1,FY-09,396962.64,144548.86
70,4,1200 Blk. Hamilton Street  NW,1,FY-09,397517.97932365,142778.53657793
71,4,6700 Luzon Ave. NW,1,FY-09,397221.72,144837.59
72,5,14TH Street NE bet. Adams & Downing Place,1,FY-09,401398.55001525,139226.57999863
73,5,300 blk. Of W Street  NE,1,FY-09,399886.76559785,139033.78675045
74,5,3100 10th St NE bet.Irving and Jackson street,1,FY-09,400655.71503856,140124.20527947
75,5,Lawrence Street NE bet. 14th and 15th Street,1,FY-09,401356.27001521,140444.61001576
76,5,Lawrence Street NE bet. 14th and 15th Street,1,FY-09,401356.27001521,140444.61001576
77,5,Lawrence Street NE  bet. 14th & 15th Street,1,FY-09,401356.27001521,140444.61001576
78,5,10th Street NE bet. Irving & Jackson St (3100 Blk),1,FY-09,400655.71503856,140124.20527947
79,7,Morris Rd./ SE 17th Street to Bruce PL. SE,1,FY-09,401666.6500155,132160.60002408
80,7,5900 Blk. Of Clay Place NE,1,FY-09,407311.22989274,136120.13116375
81,7,"3700 Block of Bangor Street, SE",1,FY-09,404027.67273769,132696.31810457
82,7,200 Blk. Of 62th Street  NE,1,FY-09,407608.57181301,136068.7508757
83,8,Mississippi Ave from Wheeler Rd to 13th St SE,1,FY-09,400997.93001488,130226.03000628
84,8,Morris Rd./ SE 17th Street to Bruce PL. SE,1,FY-09,401666.6500155,132160.60002408
85,8,Morris Rd./Erie St. SE form Pomeroy to Bruce PL. SE,1,FY-09,401285.37001515,132171.48002409
86,8,Morris Rd./Erie St. SE from Pomeroy to Bruce PL. SE,1,FY-09,401285.37001515,132171.48002409
87,8,100 Blk Elmira St. SW,1,FY-09,399075.8295971,128696.74395686
88,8,Unit Blk. Of Darrington Street SW,1,FY-09,399075.7144611,128801.54117296
89,8,Mississippi Ave from 6th St to 7th St SE,1,FY-09,400218.71007816,130020.78255009
90,2,1300 5th St NW,2,FY-09,398357.46009243,137708.86002922
91,3,4400 blk Newark St. NW,2,FY-09,392409.65903091,140744.93625604
92,3,"2700 Block of 35th Street, NW",2,FY-09,394048.61970443,139766.70006313
93,4,5800 4th St NW,2,FY-09,398458.9,143608.06
94,4,300-400 Blk. Of  Quackenbos Street  NE,2,FY-09,399777.87,144004.71
95,4,900 Longfellow Street,2,FY-09,397748.13,143250.11
96,4,800 Otis Place    NW,2,FY-09,397875,140676.39
97,4,300 Blk. Of Gallatin  Street  NW,2,FY-09,398548.16201261,142696.65411385
98,4,500-600 Jefferson Street  NW,2,FY-09,398225.38,143071.99
99,4,200 Jefferson Street  NW,2,FY-09,398796.54,143088.37
100,4,Oglethorpe Street,2,FY-09,398054.55999615,143711.8300188
